angle_deg,x,y,z,fluence
-15.00000000,23.82361910,19.31851653,29.00000000,2.155178070982e-03
-14.00000000,24.16156209,19.40591453,29.00000000,2.500325075523e-03
-13.00000000,24.50097891,19.48740130,29.00000000,2.831823033178e-03
-12.00000000,24.84176618,19.56295201,29.00000000,3.160691933057e-03
-11.00000000,25.18382009,19.63254367,29.00000000,3.858321153006e-03
-10.00000000,25.52703645,19.69615506,29.00000000,4.875233436465e-03
-9.00000000,25.87131070,19.75376681,29.00000000,5.892060824317e-03
-8.00000000,26.21653798,19.80536137,29.00000000,8.004027019193e-03
-7.00000000,26.56261313,19.85092303,29.00000000,1.076977114655e-02
-6.00000000,26.90943073,19.89043791,29.00000000,1.353819957181e-02
-5.00000000,27.25688515,19.92389396,29.00000000,2.152610886934e-02
-4.00000000,27.60487053,19.95128101,29.00000000,3.132355828361e-02
-3.00000000,27.95328088,19.97259070,29.00000000,4.109784761292e-02
-2.00000000,28.30201007,19.98781654,29.00000000,7.815830301235e-02
-1.00000000,28.65095187,19.99695390,29.00000000,1.194041496964e-01
0.00000000,29.00000000,20.00000000,29.00000000,1.606772989035e-01
1.00000000,29.34904813,19.99695390,29.00000000,1.092458581807e-01
2.00000000,29.69798993,19.98781654,29.00000000,5.782700820898e-02
3.00000000,30.04671912,19.97259070,29.00000000,1.292054253723e-02
4.00000000,30.39512947,19.95128101,29.00000000,1.051866307549e-02
5.00000000,30.74311485,19.92389396,29.00000000,8.119149841736e-03
6.00000000,31.09056927,19.89043791,29.00000000,6.111196850367e-03
7.00000000,31.43738687,19.85092303,29.00000000,5.210323452115e-03
8.00000000,31.78346202,19.80536137,29.00000000,4.315514357465e-03
9.00000000,32.12868930,19.75376681,29.00000000,3.560543572313e-03
10.00000000,32.47296355,19.69615506,29.00000000,3.026027647981e-03
11.00000000,32.81617991,19.63254367,29.00000000,2.482857710820e-03
12.00000000,33.15823382,19.56295201,29.00000000,2.045362980398e-03
13.00000000,33.49902109,19.48740130,29.00000000,1.740027155377e-03
14.00000000,33.83843791,19.40591453,29.00000000,1.435923718583e-03
15.00000000,34.17638090,19.31851653,29.00000000,1.228485513099e-03
16.00000000,34.51274712,19.22523392,29.00000000,1.108227704893e-03
17.00000000,34.84743409,19.12609512,29.00000000,9.875858229636e-04
18.00000000,35.18033989,19.02113033,29.00000000,8.830382558504e-04
19.00000000,35.51136309,18.91037151,29.00000000,7.945138608220e-04
20.00000000,35.84040287,18.79385242,29.00000000,7.134817256183e-04
21.00000000,36.16735899,18.67160853,29.00000000,6.356013189553e-04
22.00000000,36.49213187,18.54367709,29.00000000,5.523824411658e-04
23.00000000,36.81462257,18.41009707,29.00000000,4.660725185879e-04
24.00000000,37.13473286,18.27090915,29.00000000,4.155654189454e-04
25.00000000,37.45236523,18.12615574,29.00000000,4.207644678477e-04
26.00000000,37.76742294,17.97588093,29.00000000,4.298317074820e-04
27.00000000,38.07980999,17.82013048,29.00000000,4.193031240164e-04
28.00000000,38.38943126,17.65895186,29.00000000,3.661280706161e-04
29.00000000,38.69619240,17.49239414,29.00000000,3.087009573896e-04
30.00000000,39.00000000,17.32050808,29.00000000,2.468855882286e-04
31.00000000,39.30076150,17.14334601,29.00000000,2.199628609406e-04
32.00000000,39.59838528,16.96096192,29.00000000,1.966164595984e-04
33.00000000,39.89278070,16.77341136,29.00000000,1.891394242704e-04
34.00000000,40.18385807,16.58075145,29.00000000,1.912586132297e-04
35.00000000,40.47152873,16.38304089,29.00000000,1.958754396100e-04
36.00000000,40.75570505,16.18033989,29.00000000,1.964018358392e-04
37.00000000,41.03630046,15.97271020,29.00000000,1.932337975178e-04
38.00000000,41.31322951,15.76021507,29.00000000,1.878544185756e-04
39.00000000,41.58640782,15.54291923,29.00000000,1.761534931378e-04
40.00000000,41.85575219,15.32088886,29.00000000,1.580585554869e-04
41.00000000,42.12118058,15.09419160,29.00000000,1.354596592256e-04
42.00000000,42.38261213,14.86289651,29.00000000,1.167229959777e-04
43.00000000,42.63996720,14.62707403,29.00000000,1.063384265758e-04
44.00000000,42.89316741,14.38679601,29.00000000,1.020700715581e-04
45.00000000,43.14213562,14.14213562,29.00000000,1.033954962508e-04
46.00000000,43.38679601,13.89316741,29.00000000,1.052278354357e-04
47.00000000,43.62707403,13.63996720,29.00000000,1.032417983363e-04
48.00000000,43.86289651,13.38261213,29.00000000,9.981728733570e-05
49.00000000,44.09419160,13.12118058,29.00000000,9.124901092201e-05
50.00000000,44.32088886,12.85575219,29.00000000,8.068598550067e-05
51.00000000,44.54291923,12.58640782,29.00000000,7.606280360145e-05
52.00000000,44.76021507,12.31322951,29.00000000,7.548162923657e-05
53.00000000,44.97271020,12.03630046,29.00000000,7.889615658806e-05
54.00000000,45.18033989,11.75570505,29.00000000,8.491800265025e-05
55.00000000,45.38304089,11.47152873,29.00000000,9.165930843948e-05
56.00000000,45.58075145,11.18385807,29.00000000,9.909881292402e-05
57.00000000,45.77341136,10.89278070,29.00000000,1.035290478813e-04
58.00000000,45.96096192,10.59838528,29.00000000,1.042108979599e-04
59.00000000,46.14334601,10.30076150,29.00000000,9.659031076515e-05
60.00000000,46.32050808,10.00000000,29.00000000,8.372109391218e-05
61.00000000,46.49239414,9.69619240,29.00000000,6.354507158790e-05
62.00000000,46.65895186,9.38943126,29.00000000,5.435247885254e-05
63.00000000,46.82013048,9.07980999,29.00000000,5.578104940329e-05
64.00000000,46.97588093,8.76742294,29.00000000,6.437239512668e-05
65.00000000,47.12615574,8.45236523,29.00000000,6.524872105480e-05
66.00000000,47.27090915,8.13473286,29.00000000,6.489874372781e-05
67.00000000,47.41009707,7.81462257,29.00000000,6.237595079753e-05
68.00000000,47.54367709,7.49213187,29.00000000,5.900975073931e-05
69.00000000,47.67160853,7.16735899,29.00000000,5.641645618382e-05
70.00000000,47.79385242,6.84040287,29.00000000,5.970291370331e-05
71.00000000,47.91037151,6.51136309,29.00000000,6.934684051831e-05
72.00000000,48.02113033,6.18033989,29.00000000,7.935027674464e-05
73.00000000,48.12609512,5.84743409,29.00000000,7.786697289356e-05
74.00000000,48.22523392,5.51274712,29.00000000,6.950553491897e-05
75.00000000,48.31851653,5.17638090,29.00000000,6.558959347602e-05
76.00000000,48.40591453,4.83843791,29.00000000,6.506096418916e-05
77.00000000,48.48740130,4.49902109,29.00000000,6.292876770227e-05
78.00000000,48.56295201,4.15823382,29.00000000,5.846768470995e-05
79.00000000,48.63254367,3.81617991,29.00000000,4.846584045348e-05
80.00000000,48.69615506,3.47296355,29.00000000,3.555413989667e-05
81.00000000,48.75376681,3.12868930,29.00000000,2.325639879011e-05
82.00000000,48.80536137,2.78346202,29.00000000,1.784613841168e-05
83.00000000,48.85092303,2.43738687,29.00000000,1.630909952481e-05
84.00000000,48.89043791,2.09056927,29.00000000,1.476847709837e-05
85.00000000,48.92389396,1.74311485,29.00000000,2.092339558790e-05
86.00000000,48.95128101,1.39512947,29.00000000,2.973237882096e-05
87.00000000,48.97259070,1.04671912,29.00000000,3.849028571838e-05
88.00000000,48.98781654,0.69798993,29.00000000,3.173327482293e-05
89.00000000,48.99695390,0.34904813,29.00000000,2.260880150059e-05
90.00000000,49.00000000,0.00000000,29.00000000,1.349866397504e-05
